Type,Name,Description,Content,Metadata
Report,3CM Category Health,"The 3CM Category Health Tracking report will help track category progress
towards intents and guardrails. The data will be refreshed on a quarterly basis","In Q1 2023, the 3CM Category Health report showed a 12% increase in revenue compared to Q4 2022. Category health scores improved by 10%, with Beverages (18% growth) and Snacks (15% growth) leading performance. Compliance with guardrails reached 95%, and progress towards business goals improved by 8%. Inventory turnover increased by 8%, and stock levels were optimized across 90% of categories.","{
  ""App Name"": ""3CM Category Health"",
  ""Topic"": ""Category Health"",
  ""Type"": ""Report"",
  ""Link"": ""example.com""
}"
Report,84.51° Merch Insights Reporting,"84.51° Merch Insights Reporting is a Business Intelligence suite that visualizes
Key Performance Indicators across leading drivers of business health. Current
reporting includes Customer KPIs, Market Share, and Promotions",". In Q1 2023, the platform reported 2.5 million in sales revenue with 25,000 units sold and a sell through rate of 7845.60, and promotions drove a 22% increase in sales, with the ""Buy One, Get One Free"" campaign showing the highest uplift at 30%. Weekly ad performance improved by 15%, particularly for featured products. Market share grew by 5% in the Midwest region, and the top 10% of customers contributed 40% of total revenue. Data is sourced from POS systems, customer loyalty programs, and inventory management systems.","{
    ""App Name"": ""84.51° Merch Insights Reporting"",
    ""Topic"": ""Merch Reporting"",
    ""Type"": ""Report"",
    ""Link"": ""example.com""
}"
Report,"Assortment KOMPASS Product
Ranking (AKPR) Report","KPR is a client facing Category ranking of products based on customer metrics.
This report is available to 84.51° Stratum subscribers aligned to the KOMPASS
calendar","In Q1 2023, the AKPR report ranked over 1,200 products across 15 categories, with snacks and beverages leading at 18% and 15% growth, respectively. Customer engagement metrics showed a 12% increase in repeat purchases, while the average basket size reached $50.30. Top-performing products included Brand A chips (25% sales uplift) and Brand B energy drinks (20% growth). Underperforming products, such as Brand C cookies, saw a 10% decline in sales. Weekly updates highlighted a 5% improvement in customer satisfaction scores, driven by optimized assortments in the Midwest region. Data sources included POS systems, loyalty programs, and customer feedback surveys.","{
  ""App Name"": ""AKPR (Assortment KOMPASS Product Ranking)"",
  ""Topic"": ""Assortment"",
  ""Type"": ""Report"",
  ""Link"": ""https://example.com/akpr-report""
}"
Report,Boost Membership Report ,"Boost membership report includes customer metrics for Trial Conversion,
Engagement KPI's and Renewal Rates and more by Division and Modality","In Q1 2023, the Boost Membership Report highlighted a 15% trial conversion rate, with the highest conversions in the Midwest division (20%). Engagement KPIs showed a 12% increase in active users, with an average basket size of $55.40. Renewal rates improved to 85%, up from 78% in the previous quarter. The report also revealed that digital modality users had a 10% higher engagement rate compared to in-store members. Top-performing divisions included the Northeast (18% growth) and Southwest (16% growth). Data was sourced from membership platforms, POS systems, and customer feedback surveys.","{
  ""App Name"": ""Boost Membership Report"",
  ""Topic"": ""Membership"",
  ""Type"": ""Report"",
  ""Link"": ""https://example.com/boost-membership-report""
}"
Report ,CaMDash,"Trended Customer KPIs and Market Shares across commodities, departments and total store.","In Q1 2023, Sales Revenue reached $5.2M, with 45,000 units sold. The Sell-Through Rate was 78%, and Inventory Turnover improved to 8 times. Customer Engagement increased by 12%, and the Average Basket Size was $35. Top-performing categories included Beverages (18% growth) and Snacks (15% growth), while the Grocery department saw a 10% increase in sales. Overall, the total store achieved a 12% sales growth.","{
  ""App Name"": ""Trended Customer KPIs and Market Shares"",
  ""Topic"": ""Performance"",
  ""Type"": ""Report"",
  ""Link"": ""example.com/trended-customer-kpis""
}"
Report ,"CAT - Comprehensive Assortment
Tool","Item level data and guides to aid in assortment decision making, including item ranks and add/delete/expansion recommendations.","In Q1 2023, the top-ranked items achieved a 20% increase in sales, while Stock-On-Hand levels improved by 15%. The report also highlights opportunities for assortment optimization, with 30% of items recommended for expansion and 10% flagged for deletion.","{
  ""App Name"": CAT - Comprehensive Assortment
Tool"",
  ""Topic"": ""Performance"",
  ""Type"": ""Report"",
  ""Link"": ""example.com/comprehensive-assortment-tool""
}"
Report ,"Corporate List Discrepancy
Reporting","A report that identifies discrepancies between corporate lists maintained in RBP
vs the lists maintained in NEXT.","In Q1 2023, 8% of items showed discrepancies between corporate lists in RBP and NEXT, with Price Elasticity variations observed in 12% of flagged items. Discount Rates averaged 10%, and 90% of discrepancies were resolved within 48 hours. The report enabled the export of 500 current items, 200 removed items, and 100 region-specific items for further analysis.","{
  ""App Name"": ""Corporate List Discrepancy Report"",
  ""Topic"": ""Pricing"",
  ""Type"": ""Report"",
  ""Link"": ""example.com/corporate-list-discrepancy""
}"
Report ,Corporate Lists Report,"This provides only the active GTIN's and Price groups present within
corporate lists since the time it was created. Pricing Analysts should be able to
export all or current or removed items for regional or specific division shed
location.","In Q1 2023, 85% of active GTINs showed consistent pricing, while 15% required adjustments due to Discount Rate variations. The report also highlights Price Elasticity trends, with a 12% increase in demand for discounted items.","{
  ""App Name"": ""Corporate Lists Report,
  ""Topic"": ""Pricing"",
  ""Type"": ""Report"",
  ""Link"": ""example.com/corporate-list-reports""
}"
Report ,Discrepancy Reports,"Reports will allow users to locate price discrepancies within CPG, Spread and
Parity Groups with the ability to specify various filter options while running the
reports"," In Q1 2023, the report identified discrepancies in 8% of items, with Price Elasticity variations of up to 12%. Discount Rates averaged 15%, and Price Parity issues were resolved for 90% of flagged items.","{
  ""App Name"": ""Discrepancies Report"",
  ""Topic"": ""Pricing"",
  ""Type"": ""Report"",
  ""Link"": ""example.com/price-discrepancies""
}"
Report ,Sales Report,"Trended Customer KPIs and Market Share across total Enterprise, Divisions,
MSAs and stores.","In Q1 2023, Sales Revenue reached $12.5M, with 100,000 units sold. The Sell-Through Rate was 80%, and Inventory Turnover improved to 10 times. Customer Engagement increased by 15%, and the Average Basket Size was $40. Market Share grew by 5% in key regions.","{
  ""App Name"": ""DivDash"",
  ""Topic"": ""Performance"",
  ""Type"": ""Report"",
  ""Link"": ""example.com/trended-kpis""
}"
