Name,Description,Metrics,Metadata,Type
Category Role - Intent,The 3CM Category Health Tracking report will help track category progress towards intents and guardrails. The data will be refreshed on a quarterly basis.,"Market Share, Gross Margin, Market Share Trend, Gross Margin Trend, ","{""Group"": ""3CM Category Health"", ""Topic"": ""3CM"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/21037297-9647-46a8-8967-2f4a74e8d53f/ReportSection951916684db105b4a081?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5"", ""Additional Info"": ""Part of 8451 Category Insights Platform"", ""Request Name ID"": ""jcs000-sm-apt-7856-insightdeliveryview-viewer""}",Report
Category DNA - Guardrails,The 3CM Category Health Tracking report will help track category progress towards intents and guardrails. The data will be refreshed on a quarterly basis.,"Percent Digital Sales, Unweighted Regular Spread, Weighted Active Spread, Market Coverage %, National Brands - % Kroger Dollar Sales, National Brands - % Total Market Dollar Sales, % of Premium Products, Visits, Importance Index","{""Group"": ""3CM Category Health"", ""Topic"": ""3CM"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/21037297-9647-46a8-8967-2f4a74e8d53f/ReportSection951916684db105b4a081?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5"", ""Additional Info"": ""Part of 8451 Category Insights Platform"", ""Request Name ID"": ""jcs000-sm-apt-7856-insightdeliveryview-viewer""}",Report
Assortment KOMPASS Product Ranking (AKPR) Report,AKPR is a client facing Category ranking of products based on customer metrics.  This report is available to 84.51Â° Stratum subscribers aligned to the KOMPASS calendar.,"Composite Rank,","{""Group"": ""Assortment KOMPASS Product Ranking (AKPR) Report"", ""Topic"": ""Assortment"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/2aff45f6-7a5a-480e-8acd-35e7d3cccbec/ReportSection?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&experience=power-bi"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
Boost Report,"Boost membership report includes customer metrics for Trial Conversion, Engagement KPIâ€™s and Renewal Rates and more by Division and Modality.","Member Order by modalities, Member visits, Membership enrollment,  Memvership Annual Renewal rate, Membership Monthly renewal rate, Membership Free trail conversion, Membership Engagement KPIs, Membership Fuel engagement KPIs, Member Profiling, ","{""Group"": ""Boost Membership Report"", ""Topic"": ""Membership"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/links/TC9e-EMqpN?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&pbi_source=linkShare"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
CAT - Comprehensive Assortment Tool,"Item level data and guides to aid in assortment decision making, including item ranks and add/delete/expansion recommendations.","Item Ranking by Division, Division data overview, MUV Void Fills, Non-MUV Void Fills, Deletes Summary, POG Adds/Deletes","{""Group"": ""CAT - Comprehensive Assortment Tool"", ""Topic"": ""Assortment"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/ed953018-a7e9-4774-b4fa-074eba2ebc1f/ReportSectiond41499f8d95c3148089e?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&experience=power-bi"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
Innovation Summary Department Level,"Sales performance summary of new items launched during KOMPASS events in the latest 13 periods, including multiple levels of aggregation for review.","Weekly - Sum of Sales, Sum of Units, Median of visits, Count of UPCs","{""Group"": ""New Item Tracker"", ""Topic"": ""Assortment"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/db3d7d3a-94de-453b-aeb9-732ac9595691/ReportSectiond7f2fc4c54ad10e16225?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&experience=power-bi"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
Innovation Summary Commodity Level,"Sales performance summary of new items launched during KOMPASS events in the latest 13 periods, including multiple levels of aggregation for review.","Weekly - Sum of Sales, Sum of Units, Median of visits, Count of UPCs","{""Group"": ""New Item Tracker"", ""Topic"": ""Assortment"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/db3d7d3a-94de-453b-aeb9-732ac9595691/ReportSectiond7f2fc4c54ad10e16225?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&experience=power-bi"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
Raw data by UPC,"Sales performance summary of new items launched during KOMPASS events in the latest 13 periods, including multiple levels of aggregation for review.","Weekly - Sum of Sales, Sum of Units, Median of visits, Count of UPCs","{""Group"": ""New Item Tracker"", ""Topic"": ""Assortment"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/db3d7d3a-94de-453b-aeb9-732ac9595691/ReportSectiond7f2fc4c54ad10e16225?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&experience=power-bi"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
Innovation Division Summary Department,"Sales performance summary of new items launched during KOMPASS events in the latest 13 periods, including multiple levels of aggregation for review.","Weekly & Division - Sum of Sales, Sum of Units, Median of visits, Count of UPCs","{""Group"": ""New Item Tracker"", ""Topic"": ""Assortment"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/db3d7d3a-94de-453b-aeb9-732ac9595691/ReportSectiond7f2fc4c54ad10e16225?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&experience=power-bi"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
Raw data by Division,"Sales performance summary of new items launched during KOMPASS events in the latest 13 periods, including multiple levels of aggregation for review.","Weekly & Division - Sum of Sales, Sum of Units, Median of visits, Count of UPCs","{""Group"": ""New Item Tracker"", ""Topic"": ""Assortment"", ""Type"": ""Report"", ""Source"": 8451, ""Link"": ""https://app.powerbi.com/groups/me/apps/9d424bdd-0f5f-4ac4-bd41-751065f13455/reports/db3d7d3a-94de-453b-aeb9-732ac9595691/ReportSectiond7f2fc4c54ad10e16225?ctid=5f9dc6bd-f38a-454a-864c-c803691193c5&experience=power-bi"", ""Additional Info"": NaN, ""Request Name ID"": NaN}",Report
